新增确诊,新增治愈,新增死亡,统计日期
0,4,0,1月11日
0,1,0,1月12日
0,5,1,1月13日
41,12,2,1月16日
45,15,2,1月17日
275,10,4,1月18日
228,3,11,1月21日
90,3,0,1月22日
289,5,9,1月23日
478,3,16,1月24日
643,10,14,1月25日
809,9,25,1月26日
1761,11,25,1月27日
1378,39,26,1月28日
1746,23,38,1月29日
2003,46,43,1月30日
2076,68,46,1月31日
2595,86,45,2月1日
2809,147,57,2月2日
3233,170,65,2月3日
3909,250,66,2月4日
3692,291,72,2月5日
3153,362,73,2月6日
3410,546,86,2月7日
2629,584,89,2月8日
2973,668,97,2月9日
2491,673,108,2月10日
2027,778,97,2月11日
4803,1150,254,2月12日
4052,859,13,2月13日
2642,1391,143,2月14日
2007,1345,142,2月15日
2054,1429,106,2月16日
1892,1650,98,2月17日
1750,1858,138,2月18日
395,1772,113,2月19日
892,2049,118,2月20日
827,2438,109,2月21日
647,2207,97,2月22日
221,1810,150,2月23日
517,2679,71,2月24日
411,2404,52,2月25日
440,2732,29,2月26日
329,3636,44,2月27日
430,2840,47,2月28日
579,2634,35,2月29日
206,2846,42,3月1日
128,2730,32,3月2日
120,2652,37,3月3日
144,2208,31,3月4日
145,1682,30,3月5日
102,1675,28,3月6日
46,1660,27,3月7日
45,1538,23,3月8日
20,1309,17,3月9日
32,1576,22,3月10日
24,1318,11,3月11日
11,1327,7,3月12日
30,1450,14,3月13日
27,1370,10,3月14日
31,839,14,3月15日
38,936,13,3月16日
34,930,11,3月17日
87,819,8,3月18日
63,736,3,3月19日
115,594,8,3月20日
83,505,6,3月21日
109,459,9,3月22日
139,458,7,3月23日
100,491,4,3月24日
119,405,6,3月25日
113,541,5,3月26日
135,385,3,3月27日
127,478,5,3月28日
110,337,5,3月29日
96,288,3,3月30日
70,14,1,3月31日
107,220,6,4月1日
80,326,10,4月2日
71,199,4,4月3日
55,226,3,4月4日
75,138,2,4月5日
66,102,0,4月6日
89,136,2,4月7日
89,125,2,4月8日
56,127,1,4月9日
81,97,4,4月10日
96,85,0,4月11日
115,125,2,4月12日
99,117,0,4月13日
49,127,1,4月14日
52,115,0,4月15日
42,112,0,4月16日
31,109,0,4月17日
21,81,0,4月18日
36,70,0,4月19日
34,83,0,4月20日
18,64,0,4月21日
13,105,0,4月22日
9,89,0,4月23日
16,137,0,4月24日
11,77,0,4月25日
3,108,1,4月26日
26,106,0,4月27日
2,78,0,4月28日
4,43,0,4月29日
12,60,0,4月30日
3,60,0,5月1日
5,34,0,5月2日
7,77,0,5月3日
4,111,0,5月4日
2,77,0,5月5日
3,64,0,5月6日
7,56,0,5月7日
0,77,0,5月8日
15,87,0,5月9日
19,45,0,5月10日
1,37,1,5月11日
7,26,0,5月12日
6,25,0,5月13日
5,25,0,5月14日
9,22,0,5月15日
6,14,1,5月16日
10,19,0,5月17日
9,7,0,5月18日
2,10,0,5月19日
2,6,0,5月20日
13,12,0,5月21日
2,4,0,5月22日
3,6,0,5月23日
11,11,0,5月24日
7,10,0,5月25日
1,7,0,5月26日
3,12,0,5月27日
0,5,0,5月28日
18,12,0,5月29日
5,4,0,5月30日
19,5,0,5月31日
8,12,0,6月1日
5,0,0,6月2日
1,7,0,6月3日
11,11,0,6月4日
6,6,0,6月5日
9,6,0,6月6日
5,11,0,6月7日
3,9,0,6月8日
4,9,0,6月9日
11,5,0,6月10日
7,8,0,6月11日
12,7,0,6月12日
60,3,0,6月13日
47,7,0,6月14日
45,9,0,6月15日
44,4,0,6月16日
36,18,0,6月17日
37,5,0,6月18日
30,14,0,6月19日
29,6,1,6月20日
19,1,0,6月21日
52,13,0,6月22日
29,8,1,6月23日
20,8,0,6月24日
29,8,1,6月25日
24,8,0,6月26日
18,11,0,6月27日
14,18,0,6月28日
23,10,0,6月29日
5,15,0,6月30日
31,18,0,7月1日
15,15,0,7月2日
9,15,0,7月3日
19,27,0,7月4日
14,13,0,7月5日
25,11,0,7月6日
21,24,0,7月7日
33,48,0,7月8日
48,28,0,7月9日
40,25,0,7月10日
35,21,0,7月11日
46,31,0,7月12日
55,31,1,7月13日
54,31,0,7月14日
20,38,2,7月15日
78,31,0,7月16日
82,32,1,7月17日
80,27,1,7月18日
131,44,0,7月19日
84,26,0,7月20日
74,45,2,7月21日
135,35,0,7月22日
139,53,1,7月23日
160,44,1,7月24日
179,67,2,7月25日
189,50,0,7月26日
217,7,4,7月27日
212,51,1,7月28日
223,77,1,7月29日
276,86,1,7月30日
166,107,2,7月31日
179,121,6,8月1日
159,111,2,8月2日
113,95,3,8月3日
109,121,4,8月4日
122,184,1,8月5日
133,174,3,8月6日
120,197,1,8月7日
94,180,0,8月8日
119,156,5,8月9日
113,122,3,8月10日
61,195,4,8月11日
82,200,4,8月12日
99,171,3,8月13日
70,153,1,8月14日
66,152,2,8月15日
98,91,0,8月16日
67,87,0,8月17日
54,121,2,8月18日
33,169,1,8月19日
40,95,3,8月20日
50,132,0,8月21日
38,127,2,8月22日
41,65,0,8月23日
23,70,0,8月24日
